case;channel;program;date;title;decision_date;decision
18_03172;SR;Vaken i P3 och P4;2018-09-13;Vaken med P3 och P4, inslag om ett event arrangerat av ett teknikföretag;2019-03-04;Acquittal
18_03178;SR;Lunchekot;2018-09-08;P1, Lunchekot, inslag med en mediekrönika om aktuella tidningsartiklar;2018-12-14;Acquittal
18_03190;SR;Ekot;2018-09-11;P1, Ekot, inslag om utbyggnad av spårvagnsnät;2019-04-04;Acquittal
18_03221;SR;Morgon i P4 Dalarna;2018-09-14;Morgon i P4 Dalarna och Lokala nyheterna, inslag om en nystartad begravningsbyrå;2019-02-13;Acquittal
18_03225;SR;P3 med Emma Vikström;2018-09-12;P3 med Emma Vikström, program med hänvisning till spellistor;2018-12-20;Acquittal
18_03226;SR;Meny i P1;2018-08-23;Meny i P1, program om tarmbakterier;2018-12-14;Acquittal
18_03239;SR;Ekot;2018-09-17;P1, Studio Ett, inslag om personvald riksdagsledamot;2018-12-14;Acquittal
18_03250;SR;Godmorgon, världen!;2018-09-16;P1, Godmorgon, världen!, inslag med ett uttalande om Sverigedemokraterna;2018-12-14;Acquittal
18_03254;SR;Studio Ett;2018-09-18;P1, Studio Ett, inslag med en påannonsering av ett inslag om en jurist som är aktiv i partiet Alternativ för Sverige;2018-12-14;Acquittal
18_03327;SR;NA;2018-09-20;P4 Blekinge, lokala nyheter, inslag om en kommunpolitiker som anklagats för trakasserier;2019-04-01;Acquittal
18_03338;SR;Lunchekot;2018-09-22;P1, Lunchekot, inslag med en telefonintervju med en politiker;2018-12-14;Acquittal
18_03364;SR;Ring P1;2018-09-24;Ring P1, inslag med inringare;2018-12-20;Acquittal
18_03522;SR;Fråga vad du vill;2018-10-06;Fråga vad du vill i P3, intervju med porrskådespelerska;2018-12-14;Acquittal
18_03530;SR;Digilistan;2018-09-16;P3, DigiListan, inslag med uppspelning av en låt;2019-02-13;Acquittal
18_03540;SR;P4 Extra;2018-10-08;P4 Extra, inslag med anledning av årsdagen för Metoo;2019-06-24;Acquittal
